service_line_id,region_code,region_name,operator_name,service_line_name,station_count,matched_station_count,segment_count,fallback_headway_count,is_branching,is_route_ready,timing_provider_default
SL_3B15A9A8C8CE,01,수도권,공항철도주식회사,공항,14,14,0,0,False,false,BY_STATION_REGION
SL_8A8C2141F5AC,02,부산,부산김해경전철주식회사,부산김해경전철,21,21,39,195,False,true,BY_STATION_REGION
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,40,40,76,760,False,true,BY_STATION_REGION
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,43,43,78,780,False,true,BY_STATION_REGION
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,17,17,30,300,False,true,BY_STATION_REGION
SL_B1F662AB4558,02,부산,부산교통공사,4호선,14,14,24,240,False,true,BY_STATION_REGION
SL_1500AD3823C1,03,대구,대구교통공사,1호선,35,35,68,680,False,true,BY_STATION_REGION
SL_310F3C654984,03,대구,대구교통공사,2호선,29,29,56,560,False,true,BY_STATION_REGION
SL_C328BFA28000,03,대구,대구교통공사,3호선,30,30,48,480,False,true,BY_STATION_REGION
SL_035A73FB3875,05,대전,대전교통공사,1호선,22,22,42,420,False,true,BY_STATION_REGION
SL_A91483BC5A01,01,수도권,네오트랜스주식회사,신분당,16,16,0,0,False,false,BY_STATION_REGION
SL_1255E0D773FD,01,수도권,용인경량전철주식회사,에버라인,15,14,0,0,False,false,BY_STATION_REGION
SL_161E0D8970EF,04,광주,광주교통공사,1호선,20,20,22,218,False,true,BY_STATION_REGION
SL_93451329FB01,01,수도권,김포골드라인운영주식회사,김포골드라인,10,10,18,180,False,true,BY_STATION_REGION
SL_A1B6A200F49C,01,수도권,구리도시공사,8호선,3,3,0,0,False,false,BY_STATION_REGION
SL_FA5E9BDA394E,01,수도권,지티엑스에이운영,GTX-A,8,2,0,0,False,false,BY_STATION_REGION
SL_3C81D7F0F6F6,01,수도권,인천국제공항공사,자기부상,6,6,0,0,False,false,BY_STATION_REGION
SL_DB8963F0C9FE,01,수도권,인천교통공사,7호선,11,11,0,0,False,false,BY_STATION_REGION
SL_B67F73F93391,01,수도권,인천교통공사,인천1호선,30,28,0,0,False,false,BY_STATION_REGION
SL_4D8C08B5A4F1,01,수도권,인천교통공사,인천2호선,27,25,0,0,False,false,BY_STATION_REGION
SL_9466C01B2356,01,수도권,코레일,1호선,92,85,821,3200,True,true,BY_STATION_REGION
SL_851213B20C86,01,수도권,코레일,3호선,10,9,0,0,False,false,BY_STATION_REGION
SL_AA31BBF870D0,01,수도권,코레일,4호선,22,13,42,420,False,true,BY_STATION_REGION
SL_5287D3BFAFEF,01,수도권,코레일,수인분당,63,51,88,864,False,true,BY_STATION_REGION
SL_37E47229122C,01,수도권,코레일,경춘,25,23,44,388,True,true,BY_STATION_REGION
SL_D0E7788D279F,01,수도권,코레일,경의중앙,58,54,98,919,True,true,BY_STATION_REGION
SL_4AEDCA688792,01,수도권,코레일,경강,12,12,4,40,False,true,BY_STATION_REGION
SL_58702E398A41,01,수도권,코레일,서해선,8,8,10,98,False,true,BY_STATION_REGION
SL_480F0999C961,02,부산,코레일,동해,23,23,24,238,False,true,BY_STATION_REGION
SL_B1E9BFD92319,03,대구,코레일,대경선,7,7,0,0,False,false,BY_STATION_REGION
SL_D324710E16DA,01,수도권,남양주도시공사,4호선,3,3,0,0,False,false,BY_STATION_REGION
SL_350D3B6D6AA6,01,수도권,남양주도시공사,8호선,2,2,0,0,False,false,BY_STATION_REGION
SL_B33A75B9C64B,01,수도권,서울교통공사,1호선,10,10,0,0,False,false,BY_STATION_REGION
SL_564F0B5AFE1B,01,수도권,서울교통공사,2호선,51,51,102,1020,True,true,BY_STATION_REGION
SL_69DD658ED6A6,01,수도권,서울교통공사,3호선,34,34,92,900,False,true,BY_STATION_REGION
SL_6EEBE5963ED8,01,수도권,서울교통공사,4호선,26,26,73,584,False,true,BY_STATION_REGION
SL_AAA8222A8ABE,01,수도권,서울교통공사,5호선,56,56,112,1100,True,true,BY_STATION_REGION
SL_7E1B1F7898EE,01,수도권,서울교통공사,6호선,39,39,72,720,False,true,BY_STATION_REGION
SL_3C3070C16347,01,수도권,서울교통공사,7호선,42,42,104,1040,False,true,BY_STATION_REGION
SL_F342822E3817,01,수도권,서울교통공사,8호선,19,19,46,460,False,true,BY_STATION_REGION
SL_8F5057CD282A,01,수도권,서울시메트로9호선주식회사,9호선,38,38,37,370,False,true,BY_STATION_REGION
SL_50341A3A9F81,01,수도권,남서울경전철주식회사,신림선,11,11,20,200,False,true,BY_STATION_REGION
SL_D48C8D3588F5,01,수도권,주식회사 SR,GTX-A,1,0,0,0,False,false,BY_STATION_REGION
SL_DAB0E2B86442,01,수도권,서해철도주식회사,서해선,12,12,4,40,False,true,BY_STATION_REGION
SL_8CFC987D09A5,01,수도권,우이신설경전철주식회사,우이신설,13,13,24,240,False,true,BY_STATION_REGION
SL_C8573561C185,01,수도권,의정부경량전철주식회사,의정부,15,15,0,0,False,false,BY_STATION_REGION
