from_source_line_id,from_source_station_id,from_source_station_key,from_station_name,to_source_line_id,to_source_station_id,to_source_station_key,to_station_name,transfer_duration_seconds,straight_distance_meters,duration_is_estimated
I11D1,D004,I11D1|D004,신사,I1103,0337,I1103|0337,신사,226,55,True
I1103,0337,I1103|0337,신사,I11D1,D004,I11D1|D004,신사,226,55,True
I11D1,D005,I11D1|D005,논현,S1107,0732,S1107|0732,논현,182,2,True
S1107,0732,S1107|0732,논현,I11D1,D005,I11D1|D005,논현,182,2,True
I11D1,D006,I11D1|D006,신논현,S1109,4125,S1109|4125,신논현,193,16,True
S1109,4125,S1109|4125,신논현,I11D1,D006,I11D1|D006,신논현,193,16,True
I11D1,D007,I11D1|D007,강남,S1102,0222,S1102|0222,강남,242,74,True
S1102,0222,S1102|0222,강남,I11D1,D007,I11D1|D007,강남,242,74,True
I11D1,D008,I11D1|D008,양재(서초구청),I1103,0342,I1103|0342,양재(서초구청),195,18,True
I1103,0342,I1103|0342,양재(서초구청),I11D1,D008,I11D1|D008,양재(서초구청),195,18,True
I11D1,D011,I11D1|D011,판교,I41K5,1501,I41K5|1501,판교역,265,102,True
I41K5,1501,I41K5|1501,판교역,I11D1,D011,I11D1|D011,판교,265,102,True
I11D1,D012,I11D1|D012,정자,I4105,1857,I4105|1857,정자역,383,243,True
I4105,1857,I4105|1857,정자역,I11D1,D012,I11D1|D012,정자,383,243,True
I11D1,D013,I11D1|D013,미금,I4105,1858,I4105|1858,미금역,282,123,True
I4105,1858,I4105|1858,미금역,I11D1,D013,I11D1|D013,미금,282,123,True
L41E1,Y110,L41E1|Y110,기흥(백남준아트센터),I4105,1865,I4105|1865,기흥역,263,100,True
I4105,1865,I4105|1865,기흥역,L41E1,Y110,L41E1|Y110,기흥(백남준아트센터),263,100,True
I28A1,A01,I28A1|A01,서울,I4101,0133,I4101|0133,서울역,494,376,True
I4101,0133,I4101|0133,서울역,I28A1,A01,I28A1|A01,서울,494,376,True
I28A1,A01,I28A1|A01,서울,I1104,0426,I1104|0426,서울역,397,260,True
